Scientific,Common,SpeciesVal 
Crataegus chrysocarpa,fireberry hawthorn,6
Crataegus crus-galli,cockspur hawthorn,1
Crataegus douglasii,Black Hawthorn,17
Crataegus mollis,downy hawthorn,1
Crataegus monogyna,common hawthorn,5
Crataegus punctata,dotted hawthorn,8
Crataegus succulenta,fleshy hawthorn,1
Crocanthemum canadense,Canada frostweed,1
Crocosmia × crocosmiiflora,Montbretia,2
Crocus,,4
Crocus vernus,Spring Crocus,5
Cryptotaenia canadensis,honewort,9
Cucumis,,1
Cucumis sativus,Cucumber,1
Cucurbita pepo,American pumpkin,2
Cucurbitaceae,gourd family,2
Cupressaceae,cypress family,3
Cupressus,cypresses,1
Cyanus,knapweeds, bluets, loggerheads, and allies,1
Cyanus montanus,Perennial Cornflower,5
Cyanus segetum,Bachelor's-button,4
Cymbalaria muralis,Ivy-leaved toadflax,4
Cynanchum,Swallowwort,1
Cynoglossoideae,,1
Cynoglossum officinale,hound's-tongue,5
Cyperaceae,sedges,5
Cyperus,flatsedges,3
Cyperus bipartitus,Shining Flatsedge,1
Cyperus esculentus,yellow nutsedge,1
Cyperus strigosus,straw-colored flatsedge,1
Cystopteris bulbifera,bulblet fern,4
Cystopteris fragilis,brittle bladderfern,1
Dactylis glomerata,cock's-foot,12
Dahlia,Dahlias,2
Dahlia coccinea,Red Dahlia,1
Dahlia pinnata,Garden Dahlia,2
Danthonia spicata,Poverty oatgrass,3
Daphne mezereum,Mezereon,1
Dasiphora,,2
Dasiphora fruticosa,shrubby cinquefoil,3
Datura,devil's trumpets,2
Datura inoxia,downy thorn-apple,3
Datura stramonium,jimsonweed,2
Datura wrightii,sacred thorn-apple,1
Daucus,carrots,7
Daucus carota,wild carrot,71
Delphinium,larkspurs,1
Desmodieae,,1
Desmodium,ticktrefoils,1
Desmodium canadense,showy tick-trefoil,11
Deutzia,,3
Dianthus,carnations,1
Dianthus armeria,deptford pink,5
Dianthus barbatus,Sweet-William,8
Dicentra cucullaria,Dutchman's breeches,2
