Scientific,Common,SpeciesVal 
Parnassia glauca,Fen Grass of Parnassus,4
Parthenocissus,,2
Parthenocissus heptaphylla,sevenleaf creeper,1
Parthenocissus inserta,thicket creeper,5
Parthenocissus quinquefolia,Virginia creeper,12
Pastinaca sativa,wild parsnip,2
Pelargonium × hortorum,garden geranium,1
Pellia,,1
Penstemon digitalis,foxglove beardtongue,4
Penstemon hirsutus,hairy beardtongue,25
Penstemon laxiflorus,nodding beardtongue,2
Persicaria,knotweeds, smartweeds, and waterpeppers,4
Persicaria amphibia,water smartweed,9
Persicaria hydropiperoides,swamp smartweed,4
Persicaria maculosa,spotted lady's thumb,2
Persicaria sagittata,arrow-leaved tearthumb,2
Phalaris arundinacea,reed canary grass,6
Phegopteris connectilis,long beech fern,1
Phlox subulata,moss phlox,1
Phragmites australis,common reed,4
Phragmites australis americanus,American common reed,2
Phragmites australis australis,European reed,4
Phryma leptostachya,American lopseed,1
Physalis longifolia subglabrata,Longleaf Ground-cherry,1
Physocarpus opulifolius,common ninebark,1
Physostegia virginiana,obedient plant,3
Picea,spruces,7
Picea abies,Norway spruce,4
Picea glauca,white spruce,10
Picea mariana,black spruce,5
Pilea pumila,Canada clearweed,1
Pilosella,Hawkweeds,4
Pilosella aurantiaca,orange hawkweed,10
Pilosella caespitosa,meadow hawkweed,10
Pilosella officinarum,mouse-eared hawkweed,2
Pilosella piloselloides,smooth hawkweed,2
Pinaceae,pine family,4
Pinales,conifers,1
Pinopsida,conifers,1
Pinus,pines,1
Pinus banksiana,Jack pine,2
Pinus nigra,black pine,1
Pinus resinosa,red pine,2
Pinus rigida,pitch pine,1
Pinus strobus,eastern white pine,27
Pinus sylvestris,Scots pine,10
Plagiomnium,,1
Plagiomnium cuspidatum,Woodsy Thyme-moss,1
Plantae,Plants,28
Plantago,plantain,5
Plantago lanceolata,ribwort plantain,2
Plantago major,greater plantain,1
Platanthera,,1
Platanthera aquilonis,north wind bog orchid,1
Platanthera dilatata,white bog-orchid,3
Platanthera huronensis,green bog orchid,4
Platanus,planes,1
Platanus occidentalis,American sycamore,1
Poa,Meadow-grasses,2
Poa pratensis,Smooth Meadow-grass,2
Poaceae,grasses,14
Poales,grasses, sedges, and allies,3
Podophyllum peltatum,mayapple,5
Pogonia ophioglossoides,Rose Pogonia,2
Polygala senega,Seneca snakeroot,3
Polygaloides paucifolia,fringed polygala,7
Polygonatum,Solomon's-seals,1
Polygonatum pubescens,hairy Solomon's-seal,2
Polygonoideae,,1
Polygonum aviculare,prostrate knotweed,1
